applet_name,applet_description,applet_Trigger,applet_Action,applet_TD,applet_AD,applet_number
Tell Alexa to Close Garage via MyQ for LiftMaster,"Tell Amazon Alexa to Close Garage via MyQ subscription service for LiftMaster (aka Chamberlain). For this to work you need to have the MyQ wifi hub/bridge configured properly and linked to your garage opener. The command to say is ""Alexa trigger close garage"". Unfortunately you can't open the garage due to restrictions by LiftMaster (they only let you close, but not open!).",Say a specific phrase,Close door,/amazon_alexa,/myq_devices,5.0k
Unsilence your phone with Amazon Alexa,"Find your phone! Simply say ""Alexa, trigger unsilence phone"" and your Android phone's ringer will turn up to 100%.",Say a specific phrase,Set ringtone volume,/amazon_alexa,/android_device,41.5k
Amazon Alexa find my phone! Via notification,This Applet will help you find your phone via Amazon echo and received by the notification on your smart phone.,Say a specific phrase,Send a notification from the IFTTT app,/amazon_alexa,/if_notifications,28.8k
[ACC] Open file (example) (Dropbox),"Opens the example.txt file (example on how to use the ""open"" action in ACC). AssistantComputerControl:
https://assistantcomputercontrol.com/",Say a specific phrase,Create a text file,/amazon_alexa,/dropbox,242
Sync your Amazon Alexa to-dos with your reminders,"When you add a new item to your Amazon Alexa to-dos, it'll show up in your reminders on your phone. Get to it!",Item added to your To Do List,Add reminder to list,/amazon_alexa,/ios_reminders,133.8k
Alexa  Amazon Echo = iOS reminders grocery list,Using the power of Alexa to add items to your reminders list,Item added to your Shopping List,Add reminder to list,/amazon_alexa,/ios_reminders,7.7k
[ACC] Restart computer (OneDrive),"Restart your computer(s) using Amazon Alexa.
Requires AssistantComputerControl, https://assistantcomputercontrol.com",Say a specific phrase,Create text file,/amazon_alexa,/onedrive,1.3k
Tell Alexa to start a Harmony activity,"Choose a phrase to control your Harmony Home with Alexa. When you say ""Alexa, trigger + [ your phrase]"" you can start any Harmony activity you choose below.",Say a specific phrase,Start activity,/amazon_alexa,/harmony,66.0k
"Alexa, trigger PC on","Using Tasker on Android and the Wake On Lan app, you can use this recipe to power on your PC using Alexa.",Say a specific phrase,Send an SMS,/amazon_alexa,/android_messages,4.5k
Automatically sync your Amazon Alexa To Do List with your Google Calendar,For each new item you add to Alexa's To Do List this Applet will automatically create an event in Google Calendar at the same time.,Item added to your To Do List,Quick add event,/amazon_alexa,/google_calendar,90.0k
Sync to do with Google Tasks and Alexa,"When a new item is added to your Amazon Alexa to do list, it will automatically be added to your Google Tasks list.",Item added to your To Do List,Add task to a list,/amazon_alexa,/google_tasks,2.0k
Add tasks to Microsoft To Do using Alexa,Ask Alexa to add a task and it'll automatically be added to your To Do tasks list.,Item added to your To Do List,Create task in task list,/amazon_alexa,/microsoft_todo,342
Blink your Hue lights when your Amazon Alexa timer hits 0,Add some visual flair to your countdown. Tip: this is a great Applet if you or someone else in the home is hearing impaired.,Your Timer goes off,Blink lights,/amazon_alexa,/hue,43.5k
Find my phone with echo for Samsung,Find my phone with echo for Samsung,Say a specific phrase,Play a specific song,/amazon_alexa,/android_device,1.3k
Alexa play me a movie,"To use this recipe, please follow the instructions here:
https://www.hackster.io/gusgonnet/hey-alexa-play-me-a-movie-489103",Say a specific phrase,Push a note,/amazon_alexa,/pushbullet,289
