applet_name,applet_description,applet_Trigger,applet_Action,applet_TD,applet_AD,applet_number
Track your work hours in iOS Calendar,"Simply enter your work location on the map and every time you arrive or leave the area, it will be added to the iOS Calendar you select! Great for easily tracking hours spent at the office.",You enter or exit an area,Create a calendar event,/location,/ios_calendar,69.1k
Create a new iOS reminder when you add an event to a specific calendar,Use a calendar to keep track of your to-dos — this Applet makes it easy to stay in sync.,New event added to specific calendar,Add reminder to list,/ios_calendar,/ios_reminders,4.0k
"Every day at 6 PM, add tomorrow's weather report to your calendar","Every day at the time of your choosing (defaults to 6 PM), the weather report for the tomorrow will be added to your iOS Calendar.",Tomorrow's weather report,Create a calendar event,/weather,/ios_calendar,49.6k
Add Fitbit sleep logs to your calendar,"Every time you log sleep with Fitbit, it will be added to your calendar. The event will be scheduled from the time you start sleeping until you wake up.",New sleep logged,Create a calendar event,/fitbit,/ios_calendar,939
Create an event on your iOS Calendar using Amazon Alexa,"While you can't use your voice to set a specific time for the event, you can set up an easily repeated event on your schedule. For example, ""Do not disturb"" or ""Completed a task"" events that you pre-set below.",Say a specific phrase,Create a calendar event,/amazon_alexa,/ios_calendar,12.4k
Track when you Tweet in an iOS Calendar,"Get the broad picture of when you Tweet with this Applet. For every Tweet you post, it will be added to the calendar you choose at the time of its posting.",New tweet by you,Create a calendar event,/twitter,/ios_calendar,308
Track when you listen to songs on Alexa in your calendar,Keep a diary of your music history! Each song will be added as small 5 minute events on the calendar you choose.,New song played,Create a calendar event,/amazon_alexa,/ios_calendar,370
Transfer Calendar Events to Todoist,"Sometimes you subscribe to a calendar service with assigned tasks/events by some organizations, but sadly you cannot set up alert for them. This applet helps you to add these tasks to your Todoist so you will not miss them.",New event added to specific calendar,Create task,/ios_calendar,/todoist,1.4k
"Use a note widget to place a ""Do Not Disturb"" event on your calendar at the time that you type","With a note widget you can type the specific time to start blocking off your calendar e.g. ""Today at 3pm."" The Applet itself will handle the rest of the event creation.",Any new note,Create a calendar event,/do_note,/ios_calendar,1.3k
Create an event when you add a new reminder on your iPhone,"For any new reminder you add using your iOS Reminders app, it will be marked on your calendar at the time of creation.",Any new reminder,Create a calendar event,/ios_reminders,/ios_calendar,15.3k
