applet_name,applet_description,applet_Trigger,applet_Action,applet_TD,applet_AD,applet_number
Get alerts if your name or company name is mentioned in the New York Times,"Just enter your keyword and when it's mentioned in an article, you'll get a notification and an email. You've made it! Assuming all press is good press...",New article from search,Send me an email,/nytimes,/email,1.4k
Add NY Times Best Sellers to a Reading List,Add NY Times Best Sellers to an iOS Reading List,New book on the Best Sellers List,Add item to Reading List,/nytimes,/ios_reading_list,129
"Get an email when a keyword, name, or phrase you choose appears in an article",This Applet searches newly published content across all sections of the news and sends you an email with a blurb and article link.,New article from search,Send me an email,/nytimes,/email,448
The New York Times,The New York Times To Blogger,New article in section,Create a post,/nytimes,/blogger,36
Save popular NYTimes articles to Pocket,This saves popular NYTimes articles from a specific section to your Pocket. Read them at your leisure!,New popular article in section,Save for later,/nytimes,/pocket,12.9k
new york times,it is also make post with pic like others,New popular article in section,Create a photo post,/nytimes,/blogger,27
New NYT tech article post to twitter,New NYT tech article post to twitter,New article in section,Post a tweet with image,/nytimes,/twitter,14
Post Popular Articles from NY Times to Flapz Board,"When NY Times article becomes popular in the section you select, it will post to your Flapz Board",New popular article in section,Update All Flapz Board Rows,/nytimes,/flapz_board,20
"Get an email when there's a new popular article in the ""Health"" section",Staying healthy means staying informed. This Applet helps you stay on top of what's new in the world of health.,New popular article in section,Send me an email,/nytimes,/email,1.8k
Save a book,Save £1 every time a book is added to the NYT Bestsellers list,New book on the Best Sellers List,Save,/nytimes,/dozens,6
Save popular New York Times articles to Instapaper,Save popular New York Times articles to Instapaper,New popular article in section,Save item,/nytimes,/instapaper,1.6k
Popular article in New York Times send to me in 7am,Popular article in New York Times send to me in 7am,New popular article in section,Add to daily email digest,/nytimes,/email_digest,626
New Travel Article,"In this recipe, you can know the news articles of Travel section, on the ""The New York Times""",New article in section,Append to a document,/nytimes,/google_docs,10
Times Sports Tweets,A good way to support sports news to the followers around the world.,New popular article in section,Post a tweet,/nytimes,/twitter,5
Push NYT bestseller Ebook,Send me the details on NYT bestseller on Pushbullet,New book on the Best Sellers List,Push a note,/nytimes,/pushbullet,5
NYT Best Sellers to Teams,Get a message to your Teams channel when there is a new book on the NYT Best Sellers list.,New book on the Best Sellers List,Post to channel,/nytimes,/microsoft_teams,
Pryv popular news from NYT,Pryv popular news from NYT,New popular article in section,Add a note,/nytimes,/pryv,9
#Newyork Times,#Newyork Times,New article in section,Send an email,/nytimes,/gmail,3
Business articles to daily email,Business articles to daily email,New article in section,Add to daily email digest,/nytimes,/email_digest,51
Make Homey your personal news anchor,"When there appears a new popular article in a specified section of the New York Times, let Homey announce this as your personal news anchor.",New popular article in section,Let Homey speak,/nytimes,/homey,18
Daily Digest of NYT Morning Briefing,get an email every morning with the morning briefing of the current day and evening briefing of the previous day from the New York Times.,New article from search,Add to daily email digest,/nytimes,/email_digest,74
Save NYT OP-ED Articles to Instapaper,Saves Opinion articles from New York Times to Instapaper Automatically,New article in section,Save item,/nytimes,/instapaper,6
Send articles from the NYT to OneNote,Send articles from the NYT to OneNote,New article from search,Create a page from a link,/nytimes,/onenote,279
What's happening in NYC every morning,What's happening in NYC every morning,New article from search,Send an email,/nytimes,/gmail,16
Search and Save Articles to Instapaper,Any Article that matches your search will be saved to Instapaper,New article from search,Save item,/nytimes,/instapaper,12
Add NY Times Articles to a Google Sheet,Want to read the latest articles on a topic of your choice? This Applet will save your articles in a Google Sheet so you can dig into them at a later date.,New article from search,Add row to spreadsheet,/nytimes,/google_sheets,4
buffer all news about japan from nytimes,Use this recipe to make sure you and your followers never miss ANYTHING concerning Japan from the world's best journalism. This is mostly for people with a large Japanophile following.,New article from search,Add to Buffer,/nytimes,/buffer,1
Any new popular NYT article to Evernote.,Any new popular NYT article to Evernote.,New popular article in section,Create a note,/nytimes,/evernote,14
Popular NYTimes article → push notification,Popular NYTimes article → push notification,New popular article in section,Send a notification from the IFTTT app,/nytimes,/if_notifications,87
