applet_name,applet_description,applet_Trigger,applet_Action,applet_TD,applet_AD,applet_number
Get yourself out of an awkward situation (US Only),"Run into someone that you really don't want to talk to? In a meeting that's dragging on far too long? This Applet offers a simple, discreet way to trigger a phone call (US Only) to yourself so that you can politely excuse yourself from the situation.",Button press,Call my phone,/do_button,/phone_call,82.9k
Ask Alexa to call your phone,"Lost your phone? Say ""Alexa, call my phone"" and follow the ringtone. 🙌",Say a specific phrase,Call my phone,/amazon_alexa,/phone_call,2.0k
Call your phone when your Amazon Alexa alarm goes off,"Use Alexa as your alarm, but don't have your Echo or Tap in the bedroom? This Applet will make sure you rise and shine. ☀️",Your Alarm goes off,Call my phone,/amazon_alexa,/phone_call,59
Avoid People,"This applet will place a call to your phone upon the press of a button widget. In order to ensure that you will be interrupted by the important phone call, it also sets your ringer volume to 100%. Just remember to turn it back down afterwards so you aren't interrupted for real during something important.",Button press,Set ringtone volume,/do_button,/android_device,9
Send a SMS to Get Called,"This is a perfect way to escape conversations. Text ""#HELP"" to IFTTT and you will receive a short call you can take out of the room.",Send IFTTT an SMS tagged,Call my phone,/sms,/phone_call,1
Get a phone call when your Blink Camera detects motions,"When motion is detected on your blink camera,you will get a phone call automatically.",Motion detected,Call my phone,/blink,/phone_call,85
Call phone when doorbell rings,Calls your phone when the doorbell rings. Choose the message.,New Ring Detected,Call my phone,/ring,/phone_call,
Call me when a water leak is detected,Expand your Notion notifications with a phone call,Water Leak detected,Call my phone,/notion,/phone_call,
Holler Back!,IFTTT echo imitation,Leave IFTTT any voicemail,Call my phone,/phone_call,/phone_call,4
Find my phone,On a click of a button call a number,Thinga was clicked,Call my phone,/thinga,/phone_call,10
Find my phone,"Say ""Find my phone""",Ask for a sports team's score,Call my phone,/amazon_alexa,/phone_call,525
#sunrise #phone,"Daily inspirational message to start the day. Include breath work, mental visualization, and poem by berton braley.",Sunrise,Call my phone,/weather,/phone_call,11
Call your phone,Call your phone (USA only).,Gesture with task matching ID occurs,Call my phone,/knocki,/phone_call,7
Automatically receive a motivating wake up call each morning,Use IFTTT to automatically schedule a free wake-up call.,Every day at,Call my phone,/date_and_time,/phone_call,5.0k
Hotel Wakeup Call,Hotel Wakeup Call,Today's weather report,Call my phone,/weather,/phone_call,545
Weekly phone diary,Call IFTTT throughout the week and get a digest of your thoughts each weekend,Leave IFTTT any voicemail,Add to weekly email digest,/phone_call,/email_digest,21
#phonecall #sunset,"Message to self for end of day. At the end put the poem ""The Dash Between The Years"" found at the link provided...it serves as a good reminder of what's important in life.",Sunset,Call my phone,/weather,/phone_call,7
"Alexa, Find my phone",Sets android phone to full volume and makes a call.,Say a specific phrase,Call my phone,/amazon_alexa,/phone_call,88
Call Me When Too Wet,Call my phone when sensor tag is too wet. Please enable humidity or soil moisture monitoring from inside the Wireless Tag app beforehand for this to work.,Humidity or moisture is too high,Call my phone,/wirelesstag,/phone_call,
Call Me When Too Dry,Call me on my phone when sensor tag is too dry. Please enable humidity or soil moisture monitoring from inside the Wireless Tag app beforehand for this to work.,Humidity or moisture is too low,Call my phone,/wirelesstag,/phone_call,
iHome - Call My Phone,"Press the iH button on your iHome device to call your phone. Please note, phone must be within range.",iHome Enhance button is pressed,Call my phone,/ihome_enhance,/phone_call,
"When Too Hot, Call Me",Get notified by phone call when temperature exceeds configured upper limit.,Temperature is too high,Call my phone,/wirelesstag,/phone_call,
"When Too Cold, Call Me",Useful if you want to get notified of freezing pipe,Temperature is too low,Call my phone,/wirelesstag,/phone_call,7
Text to add to Spotify,Text to add to Spotify,Send IFTTT an SMS tagged,Add track to a playlist,/sms,/spotify,12
