applet_name,applet_description,applet_Trigger,applet_Action,applet_TD,applet_AD,applet_number
Automatically sync your Musixmatch favorited tracks to your Soundcloud,"Favorite a track on Musixmatch to automatically add
it to your liked tracks on Soundcloud",New favorite track,Like a track,/musixmatch,/soundcloud,50
Automatically sync your Spotify saved tracks to your Soundcloud,Save a track on Spotify to automatically add it to your liked tracks on Soundcloud.,New saved track,Like a track,/spotify,/soundcloud,374
Upload your tracks to Soundcloud from your Dropbox,Add your track files to a Dropbox folder of your choice to have them automatically uploaded to your Soundcloud profile,New file in your folder,Upload a private track,/dropbox,/soundcloud,48
Get an email when your fave celeb is featured on a track,"There's approx 1 billon podcasts out there — which one will your favorite author/speaker/actor/celeb end up on next? This Applet will search track titles and if your fave's name is in it, send you an email so you don't miss out.  👊 🎉",New track from search,Send me an email,/soundcloud,/email,127
Automatically sync your Soundcloud likes to your Spotify,Like a track on Soundcloud to add it to your Spotify My Music collection (subject to track availability; this will add the first search result to your Spotify library).,New public like,Save a track,/soundcloud,/spotify,38.4k
Save the tracks you like on SoundCloud to a Spotify playlist,"This Applet will search on Spotify for the tracks you like on SoundCloud and add to a ""SoundCloud Likes"" playlist. NOTE: not all songs on SoundCloud are available on Spotify.",New public like,Add track to a playlist,/soundcloud,/spotify,18.6k
Automatically save public tracks by artists you follow on Soundcloud in Spotify,"Sync your Soundcloud favorites with your Spotify saves. When an artist you follow adds a new public track, this Applet will search the title on Spotify. If it finds it, it'll add it to Your Music.",New public track by anyone you follow,Save a track,/soundcloud,/spotify,1.6k
Add SoundCloud feed to Spotify playlist,Add tracks from users you follow on SoundCloud to a Spotify playlist.,New public track by anyone you follow,Add track to a playlist,/soundcloud,/spotify,2.6k
Download new songs you like to Google Drive,Automatically download new songs you like on SoundCloud directly to Google Drive. *Note* this works only on tracks that are publicly available for download.,New public like,Upload file from URL,/soundcloud,/google_drive,5.1k
Amazon echo sound,Amazon echo,New song played,Upload a public track,/amazon_alexa,/soundcloud,163
