applet_name,applet_description,applet_Trigger,applet_Action,applet_TD,applet_AD,applet_number
Update your Android wallpaper with NASA's image of the day,Your device can now contain the amazing vastness & beauty of space! Basically.,Image of the day by NASA,Update device wallpaper,/space,/android_device,392.4k
Get a notification when the International Space Station passes over your house,It's a bird? It's a plane? No — it's the ISS!,ISS passes over a specific location,Send a notification from the IFTTT app,/space,/if_notifications,195.1k
Update your Android wallpaper with new NASA photos,Set your Android's wallpaper to NASA's image of the day.,Astronomy picture of the day by NASA,Update device wallpaper,/space,/android_device,163.9k
Get a notification every time an astronaut enters space,"It's awesome to be reminded that humans can travel beyond the atmosphere, don't you think?",Astronaut enters space,Send a notification from the IFTTT app,/space,/if_notifications,118.4k
Subscribe to a weekly status report from the International Space Station,What are they up to up there? Stop wondering — every Monday evening you can kick back and relax with a report in your inbox from the ISS.,ISS on-orbit status report,Add to weekly email digest,/space,/email_digest,17.8k
Add Astronomy picture of the day to your iOS Reading List,Add Astronomy picture of the day to your iOS Reading List,Astronomy picture of the day by NASA,Add item to Reading List,/space,/ios_reading_list,3.5k
Download NASA Image of the Day,Download NASA Image of the Day,Image of the day by NASA,Upload file from URL,/space,/google_drive,3.2k
Track every time the ISS passes over your house,Keep track of every time the ISS flys above your home in outer space!,ISS passes over a specific location,Add row to spreadsheet,/space,/google_sheets,5.3k
Send the NASA Image of the Day to your Discord channel,Get the latest NASA Image of the Day sent to your Discord channel automatically.,Image of the day by NASA,Post a rich message to a channel,/space,/discord,58
Add NASA's image of the day to an iOS album,"Add NASA's cool image of the day to iOS, automatically. Then you can set your wallpaper to something cool!",Image of the day by NASA,Add photo to album,/space,/ios_photos,16.8k
Get an email when there's breaking NASA news,Be the first to know important and exciting space-related news with this Applet that sends it straight to your inbox.,Breaking news by NASA,Send me an email,/space,/email,117.3k
Automatically save NASA's astronomy picture of the day to an iOS album,Unimaginable cosmic beauty! The unfathomable vastness of the universe! All saved to your lil' phone. Mind. Blown.,Astronomy picture of the day by NASA,Add photo to album,/space,/ios_photos,31.5k
Get a notification when there's breaking NASA news,New planet? New mission? New neighbors?! 👽 This Applet will make sure you're one of the first to know.,Breaking news by NASA,Send a notification from the IFTTT app,/space,/if_notifications,29.4k
Send the NASA Astronomy Picture of the Day to your Discord channel,Get a daily dose of NASA by sending the Astronomy Picture of the Day to your Discord channel.,Astronomy picture of the day by NASA,Post a rich message to a channel,/space,/discord,90
Get an email with NASA's astronomy pic of the day,"Every day, NASA shares an image of the universe and an explanation from a professional astronomer. Subscribe with this Applet and get ready to have your mind blown on the daily!",Astronomy picture of the day by NASA,Send me an email,/space,/email,32.5k
Automatically post NASA image of the day to a Slack Channel,Post NASA's image of the day to a Slack channel,Image of the day by NASA,Post to channel,/space,/slack,1.4k
Receive NASA's image of the day in your email,"Space! Science! Astronauts! Explorers! And more cool stuff in your inbox, every day.",Image of the day by NASA,Send me an email,/space,/email,66.7k
Save breaking news by NASA on Instapaper,Save breaking news by NASA on Instapaper,Breaking news by NASA,Save item,/space,/instapaper,18
Image of the day from NASA → iOS Reading List,From space to your reading list!,Image of the day by NASA,Add item to Reading List,/space,/ios_reading_list,29.4k
Space report,A report from space,ISS on-orbit status report,Send a notification from the IFTTT app,/space,/if_notifications,2.3k
Play a spoken notification when an astronaut enters space,Note: only works with Oticon Opn hearing aids and the iOS app.,Astronaut enters space,Play the text to speech (iPhone),/space,/oticon,358
Get a notification when the ISS passes over your house but only if it is clear skies and after dark,It's a bird? It's a plane? No — it's the ISS!,ISS passes over a specific location,Send a notification from the IFTTT app,/space,/if_notifications,2.8k
NASA photo of the day to Teams,Does your team love space? Send them a daily photo from NASA.,Image of the day by NASA,Post to channel,/space,/microsoft_teams,15
