applet_name,applet_description,applet_Trigger,applet_Action,applet_TD,applet_AD,applet_number
Trello in your Calendar,This will put your trello tasks in your calendar,Card assigned to me,Quick add event,/trello,/google_calendar,5.2k
Quickly add a new card to a Trello board,"Running around and adding to your task lists as you go? Make a note widget with this Applet — open it, type in your task, and it'll show up as a card on the Trello board you specify.",Any new note,Create a card,/do_note,/trello,6.4k
Trello Cards to Google Sheet,Adds any cards that have been added to a particular board in Trello to your Google Spreadsheet,Card added to board,Add row to spreadsheet,/trello,/google_sheets,603
Trello tasks assigned to me go into Todoist,You can add your tasks from Trello to Todoist easily.,Card assigned to me,Create task,/trello,/todoist,4.0k
Create iOS reminder from Trello Card,Can also use this to sync with 2Do,Card added to list,Add reminder to list,/trello,/ios_reminders,1.9k
Create cards for events,Every time you make an event on gCalendar you make a card in Trello,New event added,Create a card,/google_calendar,/trello,454
Create Trello cards from new Google Forms responses,Save time by automating the creation of tasks that you have once someone fills out a form. This Applet will automatically create Trello cards for your new Google Forms responses.,New form response,Create a card,/google_forms,/trello,6
RSS to Trello,RSS to Trello: IFTTT DIRECT RSS SYNDICATION SYSTEM,New feed item,Create a card,/feed,/trello,938
Get Sh*t Done,Trello To-Do List,Card added to list,Add to daily email digest,/trello,/email_digest,18
Create a Todoist task when a card is added to a list,"Just pick the board and the list, and when a card is added in Trello, a corresponding task will be created in Todoist automatically. Get. More. Done!",Card added to list,Create task,/trello,/todoist,926
Create Trello cards for new Calendly events,This Applet will create new Trello cards for events scheduled on your Calendly.,New event scheduled,Create a card,/calendly,/trello,4
Add photos directly to Trello,Take a photo to share it directly on Trello.,Any new photo,Create a card,/do_camera,/trello,1.5k
Trello Notification,Get notified on your iOS device as soon as someone assigns a Trello card to you!,Card assigned to me,Send a notification from the IFTTT app,/trello,/if_notifications,913
New Trello Cards to OneNote,"Copies Trello cards into a OneNote section as a new note. I use this for expanding on quick ideas I jot down in trello. (Use the ""edit"" function to choose destination in OneNote)",Card added to list,Create a page,/trello,/onenote,34
Automatically create a Trello card when you make a new task,"Sync your to-dos with your Trello — when you add a task, it'll make a new card with the details on the board and list you specify.",New task created,Create a card,/todoist,/trello,1.2k
Keep a log of every Trello task you complete in Google Drive,"When you set up the Applet just pick the board and your ""Done"" list, and whenever you move a card there it'll be logged in a Google Drive spreadsheet (An IFTTT folder will be created in your drive). Then you can gaze back at your accomplishments with awe, at your leisure. You did it!",Card added to list,Add row to spreadsheet,/trello,/google_sheets,1.5k
When you create a new Trello card add an event to Google Calendar,When you create a new Trello card add an event to Google Calendar,Card added to list,Quick add event,/trello,/google_calendar,6.9k
Automate Google Calendar to Trello,Automatically create cards in Trello using Google Calendar,Event from search starts,Create a card,/google_calendar,/trello,10
Keep Amazon and Trello Shopping Lists in Sync,"When adding an item to Amazon Shopping List via Alexa, add the same card in Trello",Item added to your Shopping List,Create a card,/amazon_alexa,/trello,454
Create a Trello card when a new email matches the search criteria,A Trello card can be created when you receive an email matching the given search criteria.,New mail received with criteria,Create a card,/zoho_mail,/trello,1
Push My Trello Tasks,Want to know what's on your plate? Get a notification anytime someone assigns a card to you.,Card assigned to me,Push a note,/trello,/pushbullet,51
Trello contacts board,Adds any new google contact to a dedicated trello board,New contact added,Create a card,/google_contacts,/trello,110
If SMS Then Trello Card,Creates a custom card when you receive an Android SMS message on a list you can specify with other options.,Any new SMS received,Create a card,/android_messages,/trello,6
