applet_name,applet_description,applet_Trigger,applet_Action,applet_TD,applet_AD,applet_number
Automatically change your Twitter profile pic when you update your Facebook photo,Keep your social accounts in sync by updating your Twitter profile pic when your Facebook profile picture is changed.,Your profile changes,Update profile picture,/facebook,/twitter,178.3k
Keep a simple spreadsheet of every Tweet you post,"Create an archive of your Tweets in Google Drive for eary tracking and to see all your content at-a-glance. Turn on this Applet and we'll create a spreadsheet for you in a folder called ""Twitter.""",New tweet by you,Add row to spreadsheet,/twitter,/google_sheets,44.5k
Automatically save in Pocket the first link in a Tweet you like,This Applet is super helpful for keeping your Pocket queue healthy and happy. Read articles from your favorite tweets on your own time!,New liked tweet by you,Save for later,/twitter,/pocket,32.0k
Forward twitter feed to telegram,Forwards a specific applet feed to an IFTTT connected telegram channel.,New tweet by a specific user,Send message,/twitter,/telegram,2.6k
Tweet your Instagrams as native photos on Twitter,Instagram photos will show up in your Twitter feed as a full image rather than a link. Note: only works for single photo posts.,Any new photo by you,Post a tweet with image,/instagram,/twitter,648.6k
Recurring Tweets,Recurring Tweets,Every day at,Post a tweet,/date_and_time,/twitter,5.1k
Automatically post on Twitter when you start streaming on Twitch,"Who has time to Tweet when the latest game is waiting to be played?! Turn on this Applet and your Twitter followers will automatically be alerted when you start streaming with this Tweet and a link to your Twitch channel:
""I'm now streaming on Twitch! Playing [Name of game]""",New stream started by you,Post a tweet,/twitch,/twitter,8.5k
New tweet by specific user sends Discord message,"When the user you specify creates a new tweet, notify your Discord server in a Rich Text message.",New tweet by a specific user,Post a rich message to a channel,/twitter,/discord,1.9k
Automatically tweet your new blog posts,"Don't let your followers miss an update: When you publish on Wordpress, this Applet will automatically send a tweet from your account with the post title and URL.",Any new post,Post a tweet,/wordpress,/twitter,27.3k
"Any new post on your bloggerPost a tweet with image to your twitter","Any new post on your blogger
Post a tweet with image to your twitter",Any new post,Post a tweet with image,/blogger,/twitter,404
Track #hashtag mentions in a Google Spreadsheet,"Every time a certain #hashtag is used on Twitter, automatically track it in a Google Spreadsheet.",New tweet from search,Add row to spreadsheet,/twitter,/google_sheets,3.2k
"If New tweet by specific user, then post a link to it in a Discord channel",Enter the twitter user you want and customize which Discord server and channel to post in,New tweet by a specific user,Post a message to a channel,/twitter,/discord,565
Post to Slack when a tweet matches your search term,A great way to stay up to date with tweets that matter to you. Use Twitter's advanced search to refine your search: https://support.twitter.com/articles/71577,New tweet from search,Post to channel,/twitter,/slack,1.9k
"If Twitter #HASHTAG, Then IF Notification.","Add a Hashtag (or search) for Twitter to follow, and expect IF notification.",New tweet from search,Send a notification from the IFTTT app,/twitter,/if_notifications,3.5k
Twitter Mentions,Twitter Mentions,New mention of you,Post a tweet,/twitter,/twitter,8.5k
