applet_name,applet_description,applet_Trigger,applet_Action,applet_TD,applet_AD,applet_number
Weather report button,Get the current weather forecast by pressing the button widget. Must have Do Button widget enabled and the IFTTT app.,Button press,Send a rich notification from the IFTTT app,/do_button,/if_notifications,3.8k
Tomorrow's weather report (Celsius),Get tomorrow's weather report for your local area at the time of your choosing. This Applet reports the weather in Celsius.,Tomorrow's weather report,Send a notification from the IFTTT app,/weather,/if_notifications,1.2k
Rain tomorrow? Get a mobile notification,When the forecast calls for rain in your area you'll receive a push notification. Remember to bring an umbrella! Keep in mind this Applet requires the IFTTT app.,Tomorrow's forecast calls for,Send a notification from the IFTTT app,/weather,/if_notifications,182.7k
Get the weather forecast every day at 7:00 AM,Every morning you will receive a simple weather report notification at 7 AM. Keep in mind this Applet requires the IFTTT app.,Today's weather report,Send a notification from the IFTTT app,/weather,/if_notifications,481.9k
Get an email if it will rain tomorrow,Don't get caught without an umbrella!,Tomorrow's forecast calls for,Send me an email,/weather,/email,23.1k
Rain today? Don't forget an umbrella,Rain today? Don't forget an umbrella,Current condition changes to,Send a notification from the IFTTT app,/weather,/if_notifications,125.0k
Cold tomorrow? Notify me!,Cold tomorrow? Notify me!,Tomorrow's low drops below,Send a notification from the IFTTT app,/weather,/if_notifications,45.6k
Get a daily 6:00 AM email with the weather report,Every morning at 6:00AM you will receive an email with details about the day's weather forecast. Have a nice day!,Today's weather report,Send me an email,/weather,/email,29.6k
SMS freeze notification.,"If it is literally freezing outside, you will be one of the first to know.",Current temperature drops below,Send a notification from the IFTTT app,/weather,/if_notifications,73
"Before go to sleep, get the weather for the next day!","Before go to sleep, get the weather for the next day!",Tomorrow's weather report,Send a notification from the IFTTT app,/weather,/if_notifications,96.0k
"Every day at 6 AM, add today's weather report to your calendar","Every morning at 6 AM, the weather report for the day will be added to your Google Calendar.",Today's weather report,Quick add event,/weather,/google_calendar,86.2k
Automatically turn your lights on at sunset,"Never be left in the dark. Whenever the sun starts to set, your Philips Hue bulbs will automatically turn on.",Sunset,Turn on lights,/weather,/hue,141.2k
Get a notification reminder to put on sunscreen when the UV index is high,A UV Index reading of 6 to 7 means high risk of harm from unprotected sun exposure. This acts as a reminder for you to consider wearing sunscreen. Stay safe!,Current UV index rises above,Send a notification from the IFTTT app,/weather,/if_notifications,86.8k
Frost Alert!,Winter draws on! This recipe is intended to warn me whenever I might need to take a few extra moments to de-ice the windscreen. Hope you find it useful.,Current temperature drops below,Send me an email,/weather,/email,6.4k
Turn on the light right before Sunset,This will automatically turn on the WiZ light(s) of your choice a few minutes before Sunset.,Sunset,Turn on / change light mode,/weather,/wiz,1.8k
Wind Speed IF Notification,Connect Weather first,Wind speed rises above,Send a notification from the IFTTT app,/weather,/if_notifications,3.9k
Save for a holiday whenever it rains,"Whenever it rains at a place of your choice, this Applet will move some money into one of your Monzo pots",Current condition changes to,Move money into a pot,/weather,/monzo,2.5k
