trigger,trigger_description
"New post on Longreads in ""Sports""","This trigger fires whenever there is a new post on Longreads in ""Sports"""
Any new post on Longreads,This trigger fires whenever there is a new post on Longreads.
"New post on Longreads in ""Arts & Culture""","This trigger fires whenever there is a new post on Longreads in ""Arts & Culture"""
"New post on Longreads in ""Business & Tech""","This trigger fires whenever there is a new post on Longreads in ""Business & Tech"""
"New post on Longreads in ""Books""","This trigger fires whenever there is a new post on Longreads in ""Books"""
"New post on Longreads in ""Current Events""","This trigger fires whenever there is a new post on Longreads in ""Current Events"""
"New post on Longreads in ""Food""","This trigger fires whenever there is a new post on Longreads in ""Food"""
"New post on Longreads in ""Crime""","This trigger fires whenever there is a new post on Longreads in ""Crime"""
"New post on Longreads in ""Science & Nature""","This trigger fires whenever there is a new post on Longreads in ""Science & Nature"""
"New post on Longreads in ""Essays & Criticism""","This trigger fires whenever there is a new post on Longreads in ""Essays & Criticism"""
"New post on Longreads in ""Unapologetic Women""","This trigger fires whenever there is a new post on Longreads in ""Unapologetic Women"""
"New post on Longreads in ""Profiles & Interviews""","This trigger fires whenever there is a new post on Longreads in ""Profiles & Interviews"""
