action,action_description
Dim lights to 5 percent brightness,Dim lights to 5 percent brightness
Set lights to blending rainbow scene,This action will set all of the moonside lights to blending rainbow lighting effects.
Set lights to music reactive party scene,Set lights to music reactive party scene
Brighten lights to 100 percent brightness,Set lights to 100 percent brightness
Set lights to raining scene,This action will set all of the moonside lights to raining lighting effects.
Turn on all my lights,This action will turn on all of my Moonside lights.
Turn off all my lights,This action will turn off all of my Moonside lights.
Set lights to saved pixel mode,Set lights to saved pixel mode
Set lights to Youtube red,Set lights to Youtube red
Set lights to bedtime color,Set lights to bedtime color
