trigger,trigger_description
New front-end programming job posted to We Work Remotely,This trigger fires for any new front-end programming job posted to We Work Remotely
New management and finance job posted to We Work Remotely,This trigger fires for any new management and finance job posted to We Work Remotely
New back-end programming job posted to We Work Remotely,This trigger fires for any new back-end programming job posted to We Work Remotely
New devops and system admin job posted to We Work Remotely,This trigger fires for any new devops and system admin job posted to We Work Remotely
New product job posted to We Work Remotely,This trigger fires for any new product job posted to We Work Remotely
Any new job posted to We Work Remotely,This trigger fires for any new job posted to We Work Remotely
New sales and marketing job posted to We Work Remotely,This trigger fires for any new sales and marketing job posted to We Work Remotely
New design job posted to We Work Remotely,This trigger fires for any new design job posted to We Work Remotely
New programming job posted to We Work Remotely,This trigger fires for any new programming job posted to We Work Remotely
"New job in the ""all other"" category posted to We Work Remotely","This trigger fires for any new job in the ""all other"" category posted to We Work Remotely"
New full-stack programming job posted to We Work Remotely,This trigger fires for any new full-stack programming job posted to We Work Remotely
New customer support job posted to We Work Remotely,This trigger fires for any new customer support job posted to We Work Remotely
