action,action_description
Turn on/off power strip,Turn on/off  power strip
Control IR Remote,Control your YoLink IR Remote
Open/Close valve controller,Open or close your valve with YoLink Valve Controller
Start / Stop alarm for siren,Start / Stop alarm for siren
Turn on/off outlet,Turn on or turn off yolink outlet
Enable / Disable YoLink Notification,Enable / Disable YoLink Device's notification
Execute YoLink Scene,Execute your scene that defined in YoLink APP
Turn on/off switch,Turn on or turn off yolink switch
Control your thermostat,Control your thermostat
Delay your sprinkler,Set delay for your sprinkler
